id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1099490116976242380,Ideal place for staying in Oslo,171604069,Oleksandra,,Bjerke,59.92581422881861,10.806909799575806,Entire home/apt,956,1,6,2024-06-30,0.92,1,84,6,
1099694688627349933,Sentral studioleilighet,160328129,Maja,,Frogner,59.92748,10.72672,Entire home/apt,920,2,5,2024-07-14,0.93,1,12,5,
1099792549976004182,Leilighet sentralt i Oslo,9837995,Mandy,,St. Hanshaugen,59.91641655790749,10.751281790435314,Entire home/apt,1246,2,65,2024-09-16,9.65,2,42,65,
1099808030768936507,"Beautiful view of Oslo, 4 bedrooms, sauna, garden!",49914513,Kjetil,,Nordre Aker,59.95114677508176,10.795081521477274,Entire home/apt,4350,3,0,,,1,205,0,
1099861753764082693,Leilighet på Sandaker,564063983,Silje,,Sagene,59.94028946271123,10.770512869311512,Entire home/apt,950,3,3,2024-08-23,0.99,1,301,3,
1099878874703844510,Peaceful place with a piano!,28824145,Inger-Marie,,Gamle Oslo,59.91389299296395,10.81280519871871,Entire home/apt,700,2,8,2024-08-26,1.14,1,74,8,
1099891159097816690,Moderne og fin hybel-leilighet,361710163,Burak,,St. Hanshaugen,59.91661341671099,10.750692613354461,Entire home/apt,,3,22,2024-08-03,3.65,1,0,22,
1099934652974139610,Sentralt på Gruneløkka,496915851,Amanda,,Grünerløkka,59.928288646940445,10.769384689629078,Entire home/apt,,2,10,2024-08-16,2.68,1,0,10,
1099971957944587231,Moderne leilighet på Adamstuen,205975527,Ingrid,,St. Hanshaugen,59.93394661666777,10.734821744263172,Entire home/apt,,4,0,,,1,0,0,
1099988349539396029,Rimelig og sentral ettroms,526204793,Marius,,Gamle Oslo,59.91482,10.77373,Entire home/apt,,7,5,2024-07-26,0.93,1,0,5,
1100021656432933841,"Soverom med eget bad og delt kjøkken, Grünerløkka.",484227044,Anna,,Grünerløkka,59.9200954,10.7616481,Private room,550,1,8,2024-08-20,1.14,1,175,8,
1100027078443383144,Apartment 7 min from c-station!,559610923,Yonathan,,Grünerløkka,59.91864,10.76118,Entire home/apt,814,2,0,,,2,269,0,
1100060265038194689,Rom 1,199882555,Elena,,Søndre Nordstrand,59.83563,10.83105,Private room,457,2,6,2024-07-07,0.89,1,87,6,
1100112446803201330,Lys og delikat loftsleilighet,46173201,Emilie,,Sagene,59.92932616874457,10.750575714604748,Entire home/apt,1000,7,0,,,1,267,0,
1100188746569315381,Leilighet sentralt i Oslo,221672849,Hussain,,Sagene,59.9319489,10.7613902,Entire home/apt,900,1,3,2024-09-22,0.66,1,60,3,
1100456912566746933,Moderne 1-roms leilighet,333675823,Siri,,Sagene,59.94509362947834,10.75778595782924,Entire home/apt,,2,6,2024-08-05,1.16,1,0,6,
1100482978959083720,Stor leilighet på Majorstuen,46064216,Sakshi,,Frogner,59.926275187400414,10.722876472479486,Entire home/apt,1300,1,0,,,1,63,0,
1100523047768329608,Koselig toromsleilighet sentralt i Oslo,459433257,Marcus,,Gamle Oslo,59.90965280396891,10.79230149751355,Entire home/apt,,3,2,2024-04-07,0.30,1,0,2,
1100583309720453461,City Center | Perfect for Couples,564250323,Pål,,Gamle Oslo,59.91040748655139,10.764439177975326,Entire home/apt,,2,3,2024-06-27,0.83,1,2,3,
1100583726352640418,Koselig leilighet på Torshov,10336357,Luise,,Sagene,59.93378115139649,10.773708277250224,Entire home/apt,700,1,4,2024-06-17,0.59,1,90,4,
1100642122945569272,Leilighet i Oslo,526055584,Maria,,Bjerke,59.949344,10.8235758,Entire home/apt,2300,3,7,2024-08-12,1.17,1,163,7,
1100690316749031651,Sentral og eksklusiv leilighet på Vika,86313209,Thomas,,Frogner,59.9122,10.72069,Entire home/apt,1750,4,0,,,1,54,0,
1100739121668279745,Toroms sekunder unna Ensjø Tbane,90792335,Marius,,Gamle Oslo,59.91400999775708,10.785934254527092,Entire home/apt,800,5,8,2024-07-24,1.17,1,12,8,
1100768394801828989,Sentral perle på Tøyen med utsikt over Oslo,173180185,Håvard,,Gamle Oslo,59.91586127746416,10.77401451766491,Entire home/apt,2000,2,3,2024-08-16,1.30,1,48,3,
1100848042064027882,Beautiful room central in Oslo,27083782,Natalia,,St. Hanshaugen,59.92112,10.73663,Private room,,2,0,,,1,0,0,
1101375532696540760,Lekker toppleilighet,396117702,Rikke,,Frogner,59.92957,10.7118,Entire home/apt,2000,1,1,2024-07-10,0.37,1,288,1,
1101380616398242047,Ny toroms leilighet på Løren,563765554,Henrik Bergene,,Grünerløkka,59.9282,10.79028,Entire home/apt,1000,2,12,2024-08-25,2.13,1,242,12,
1101538790728818261,"Sjarmerende, sentral leilighet m solfylt balkong",87207680,Kristine,,Sagene,59.93045,10.75335,Entire home/apt,829,2,11,2024-09-22,1.63,1,71,11,
1101546068737870168,Room in modern urban area,12170769,Stine,,Grünerløkka,59.93092,10.79211,Private room,650,3,0,,,2,89,0,
1101573996044197756,Cosy room / apartment Oslo sentrum,2890626,Sabrina,,Gamle Oslo,59.90236,10.78598,Private room,1000,1,6,2024-08-20,0.95,1,269,6,
1101918125593896632,Toppleilighet på St.Hanshaugen,54500541,Ottar,,St. Hanshaugen,59.92293439223085,10.733997677909857,Entire home/apt,2000,1,0,,,1,269,0,
1102041544152524620,1 enkeltpersons opphold,527401410,Ramla,,Gamle Oslo,59.91064655683206,10.762102505009171,Private room,500,1,41,2024-09-22,5.91,5,1,41,
1102181533785948515,Leilighet i Tøyengata,141686759,Emilie,,Gamle Oslo,59.91388,10.76674,Entire home/apt,1400,3,6,2024-08-19,0.97,1,113,6,
1102184311123354459,Studio apartment,94923483,Ina,,Grünerløkka,59.92686143655108,10.794551521539688,Entire home/apt,1229,2,5,2024-08-18,1.43,1,88,5,
1102264058544154488,"2-roms leilighet i nybygg, Ensjø",140189864,Stian,,Gamle Oslo,59.9150374223088,10.789135470986366,Entire home/apt,,3,1,2024-04-30,0.20,1,0,1,
1102304942572528685,"""Hybel-Hygge"" by Ina and Alex",564683487,Alexander,,Nordre Aker,59.95619,10.76162,Entire home/apt,796,2,20,2024-09-26,4.69,1,78,20,
1102598783944140546,2- roms Ensjø,53158087,Robin,,Gamle Oslo,59.914017977744464,10.793621057497388,Entire home/apt,960,1,1,2024-06-27,0.32,1,269,1,
1102616518758753165,Sentral leilighet midt i Vika,142661264,Mathilde,,Frogner,59.91276,10.72148,Entire home/apt,1300,1,0,,,1,267,0,
1102678865820952317,Kristiansand,108595372,Marta,,Gamle Oslo,59.90373712810754,10.756522226730842,Shared room,412,1,16,2024-08-29,2.39,10,87,16,
1102682142029026654,"Lys, fin og gjennomgående.",417112903,Simon Habte,,Gamle Oslo,59.91538,10.80938,Private room,600,2,14,2024-08-30,2.30,1,26,14,
1102722120819911703,Cute central apartment,275939762,Mia,,Grünerløkka,59.92562,10.77097,Entire home/apt,,3,4,2024-08-13,1.35,1,1,4,
1102724598424089785,Sentral enebolig på Nordstrand,60786158,Kristian Ulyses,,Nordstrand,59.8617173,10.8031718,Entire home/apt,,2,6,2024-07-07,1.22,1,0,6,
1102838768337456713,4 roms leilighet i Oslo,523956956,Badar,,Søndre Nordstrand,59.8494729356103,10.812450033210315,Entire home/apt,2500,1,0,,,1,61,0,
1102928346640165475,Townhouse with private garden,4199455,Ida Cathrine,,Sagene,59.9372795,10.758659,Entire home/apt,2200,1,0,,,1,267,0,
1103276128693849592,"Modern, cosy apt. 1x Queen bed",63464212,Heidi,,Grünerløkka,59.92788544046437,10.767659335581964,Entire home/apt,600,4,0,,,1,144,0,
1103346161194426134,The apple tree house,332500519,Thomas,,Marka,59.90263,10.85331,Entire home/apt,,3,0,,,1,0,0,
1103400652880441242,"Central, quiet and spacious",4026188,Daniel,,Frogner,59.9287204,10.7193908,Entire home/apt,2600,2,5,2024-07-13,0.85,1,190,5,
1103424424967773726,Vakker villa i Holmenkollen!,412215090,Line,,Vestre Aker,59.9652404,10.6545438,Entire home/apt,6000,15,0,,,1,250,0,
1103435189549647031,Leilighet i Oslo,336183190,Sandra Fransson,,Ullern,59.93342190867552,10.668139330063534,Entire home/apt,850,2,4,2024-08-03,1.12,1,54,4,
1103438423332041977,Parkview Haven,14731255,Lillian,,Grünerløkka,59.922025479498316,10.764758884906769,Entire home/apt,1296,3,3,2024-05-19,0.51,1,250,3,
1103452109883926282,Klassisk leilighet i Gamlebyen,117130630,Julie,,Gamle Oslo,59.90578806513925,10.775112350532417,Entire home/apt,,3,0,,,2,0,0,
1103466638327883260,Cosy Getaway,443045216,Agata,,Alna,59.919391515105744,10.817427071171812,Entire home/apt,1300,2,18,2024-09-08,2.87,1,135,18,
1103466648873788630,Koselig og moderne leilighet,70531172,Lina,,Sagene,59.93183815658001,10.769786350429058,Entire home/apt,1300,2,2,2024-04-01,0.32,2,206,2,
1103499970988045065,Cozy and colorfull apartment,465217960,Sina-Alida,,St. Hanshaugen,59.91871018566141,10.739233642816544,Entire home/apt,,1,2,2024-04-14,0.33,1,0,2,
1103561149476962944,leilighet med sove alkove.,183125070,Furqan,,Grünerløkka,59.93469856062576,10.782068304755716,Shared room,280,1,1,2024-05-02,0.20,1,261,1,
1103578732975362713,Modern Comfort Meets Urban Convenience at Tøyen,457314107,Julia Sofie,,Gamle Oslo,59.913058933308186,10.773317535346202,Entire home/apt,1886,1,10,2024-09-01,5.08,1,5,10,
1103647876749373433,City center/high-end studio/4PPL,564982427,Magnus,,Sentrum,59.9101358,10.7458257,Entire home/apt,1619,2,4,2024-08-17,0.82,1,267,4,
1103654699918152410,Family friendly retro home,40776200,Sophie,,Nordstrand,59.87738543503851,10.806842805460036,Entire home/apt,640,5,0,,,1,46,0,
1104024576370336435,"Solace Apartment, Oslo Downtown",170630553,Tolu,,Gamle Oslo,59.9105296,10.7668283,Entire home/apt,1020,2,10,2024-08-06,1.99,2,252,10,
1104112612008828446,Sentral leilighet for 2-3 personer,96982910,Ragnhild,,Gamle Oslo,59.91008,10.77237,Entire home/apt,1400,4,4,2024-08-18,0.99,1,260,4,
1104124163923227798,Sentralt og rolig,455370227,Asle,,Frogner,59.92745,10.72735,Entire home/apt,1800,1,2,2024-08-03,0.68,2,236,2,
1104191699922145208,Koselig og sentral leilighet,65007769,Gustav,,St. Hanshaugen,59.9288047,10.7338183,Entire home/apt,1400,4,3,2024-08-23,1.36,1,25,3,
1104201199674383013,Happ house,564944667,Sabrina,,Østensjø,59.880368653038026,10.84410198032856,Private room,650,1,2,2024-06-30,0.48,2,269,2,
1104236454909422121,Central apartment at  St. Hanshaugen,212116640,Suzanne,,St. Hanshaugen,59.9265556,10.7466479,Entire home/apt,1500,2,1,2024-09-15,1,1,17,1,
1104366051471759608,Central luxurious apartment,73608963,Shadi,,Gamle Oslo,59.9127334,10.7609416,Entire home/apt,1421,1,72,2024-09-22,13.94,3,223,72,
1104367730967524678,Luxurious Beach Apartment center,73608963,Shadi,,Gamle Oslo,59.9076,10.75636,Entire home/apt,4143,2,6,2024-09-10,0.92,3,110,6,
1104406230375630176,Sjarmerende perle i lukket bakgård!,49029013,Hege,,Gamle Oslo,59.91704893848878,10.764298177246108,Entire home/apt,1250,2,31,2024-09-24,5.31,2,277,31,
1104426700835767552,Sentral og koselig leilighet,26458779,Henriette Pisani,,Grünerløkka,59.92274,10.77749,Entire home/apt,,6,1,2024-05-24,0.23,1,0,1,
1104486113796207241,Moderne leilighet på Tonsenhagen,565200858,Hanna,,Bjerke,59.9485365,10.8251102,Entire home/apt,,1,4,2024-06-11,0.63,1,0,4,
1104816341781499029,Nyoppusset 4etg hus m/parkering,17799648,Jonas,,Nordre Aker,59.9490232,10.7610989,Entire home/apt,3600,7,0,,,1,267,0,
1104854020609168871,Loft apartment in Bydel Sagene,78277052,Christer,,Sagene,59.9341,10.7632684,Entire home/apt,1200,2,1,2024-03-29,0.16,1,175,1,
1104860400175011945,Koselig leilighet på Ekeberg,118249378,Eugenie,,Nordstrand,59.89802,10.78299,Entire home/apt,2500,2,3,2024-08-25,1.55,1,333,3,
1104868949554585733,Lekker leilighet - Parkering - T-bane - Nytt 2019,42230009,Marius,,Ullern,59.93815457948568,10.661038197577,Entire home/apt,850,1,34,2024-09-24,6.62,1,137,34,
1104913021688326515,Stort rom i sjarmerende bygård på Grünerløkka,565293981,Gustav,,Grünerløkka,59.9199889,10.75567041904907,Private room,879,1,21,2024-08-31,3.46,1,27,21,
1104967916987911827,Koselig møblert leilighet,15846156,Saera,,Alna,59.944704,10.8895949,Entire home/apt,960,20,0,,,2,269,0,
1104974572072447588,"Rom sentralt, klassisk perle m/privat balkong",31360494,Elisabeth,,St. Hanshaugen,59.9274988,10.7330019,Private room,703,1,23,2024-09-27,3.48,2,219,23,
1105025169282526673,Cute and central apartment,445711526,Lina,,Sagene,59.93077677901469,10.753677809723651,Entire home/apt,,1,3,2024-07-17,0.94,1,0,3,
1105048642455707557,Koselig leilighet på Torshov,565333319,Line Hvoslef Bull,,Sagene,59.93374530000001,10.7634307,Entire home/apt,1000,5,0,,,1,146,0,
1105050252798013054,Leilighet på Øvre Torshov,435473712,Johannes,,Sagene,59.9389908,10.7744484,Entire home/apt,1200,2,4,2024-09-08,0.86,1,11,4,
1105105533800230531,Loftsleilighet på Grünerløkka,220006008,Vilde Bergstad,,Grünerløkka,59.927007122140004,10.760567987752482,Entire home/apt,1500,3,6,2024-07-21,1.51,1,2,6,
1105115928935888520,Klassisk og sentral leilighet,174523439,Jonatan,,Frogner,59.9300019097926,10.72401675756546,Entire home/apt,1400,7,0,,,1,175,0,
1105171015780725090,"Sentral leilighet på idylliske
Kampen, Gamle Oslo",212278033,Delali,,Gamle Oslo,59.91124,10.77809,Entire home/apt,,3,1,2024-05-04,0.20,2,0,1,
1105265860828941832,2 BR Loft with SW facing balcony,25366162,Mikkel,,Grünerløkka,59.92167797800631,10.76656736433506,Entire home/apt,3000,3,1,2024-05-11,0.21,1,34,1,
1105590440627269521,Modern 3-roms central.,71620904,Øystein,,St. Hanshaugen,59.9185,10.75132,Entire home/apt,3600,1,0,,,1,269,0,
1105638615355392371,Stort og nyrenovert hus med flott utsikt,60936,Randi,,Grorud,59.95466858136143,10.883239558510684,Entire home/apt,1243,14,0,,,1,107,0,
1105766429828273811,Fin leilighet på Grunerløkka,53596069,Karina,,Grünerløkka,59.925567743139766,10.758011844069948,Private room,850,1,0,,,1,269,0,
1105790345336748011,Sentral leilighet i gamlebyen,84422139,Frikk,,Gamle Oslo,59.90772446590503,10.768679268658161,Entire home/apt,,2,4,2024-06-16,0.85,1,0,4,
1105810304039707565,141sqm for Family | Free Parking | Bathtub,436737499,Emil Thowsen,,Vestre Aker,59.947299252986326,10.710797669311543,Entire home/apt,2432,1,34,2024-09-15,5.40,23,87,34,
1105836425589798025,Leilighet ved Marienlystparken,36641530,Torbjørn,,Frogner,59.9320671,10.721933,Entire home/apt,1600,2,4,2024-08-02,0.75,1,6,4,
1105849619676524732,Sentralt townhouse med hage på Lille Tøyen,2865078,Simon,,Grünerløkka,59.92106,10.7827,Entire home/apt,,1,11,2024-06-01,1.68,1,0,11,
1105872392996364811,Carl Berner sentralt og koselig med panoramautsikt,244179789,Jonathan,,Grünerløkka,59.925152080621075,10.779491588473318,Entire home/apt,,2,3,2024-04-01,0.45,1,0,3,
1105913591900201376,Sentral leilighet i Oslo,24581731,Hilde,,Grünerløkka,59.93052265569569,10.777367278933527,Entire home/apt,1600,2,8,2024-09-22,2.14,1,193,8,
1105924997965905771,Sentral 100m² egen leilighet i enebolig,21253387,Ann Cecilie,,Bjerke,59.934758300128074,10.817589142991633,Entire home/apt,,1,0,,,1,0,0,
1105941230612906014,Fantastisk Familievennlig,565577399,Emilie,,Vestre Aker,59.9557038,10.7047063,Entire home/apt,,4,0,,,1,0,0,
1106232016961950709,Cozy retreat in the heart of Oslo,56021483,Tessie,,St. Hanshaugen,59.91952188427711,10.749353201065828,Entire home/apt,1564,2,72,2024-09-22,11.49,5,89,72,
1106255694272150402,Hjemmekoselig og sentral ettroms på Bislett,539944182,Thomas,,St. Hanshaugen,59.93003060783158,10.731977261602879,Entire home/apt,,2,3,2024-09-01,0.46,1,0,3,
1106270328205156318,Innbydedende 2-roms leilighet på Frogner,333187994,Patrick,,Frogner,59.9173445,10.6920037,Entire home/apt,1051,1,0,,,1,54,0,
1106276646199765467,Min sjarmerende og grønne leilighet,179728470,Margrete,,Grünerløkka,59.926613048647965,10.774667673537783,Entire home/apt,,10,10,2024-08-12,2.50,1,1,10,
1106313274865803209,Topp leilighet i Oslo,162568935,Danial,,Bjerke,59.93577,10.82721,Entire home/apt,3200,1,0,,,1,269,0,
1106395586098688022,"Room in Manglerud, Oslo.",541506449,Kaspars,,Østensjø,59.900424072276486,10.819715337434381,Private room,410,1,43,2024-09-24,8.78,1,161,43,
1106517905342056525,"Cozy, ultracentral duplex with rooftop terrace",57101546,Mălina,,Gamle Oslo,59.912083,10.7640623,Entire home/apt,1063,1,16,2024-09-20,3.61,1,148,16,
1106570530873082763,Lune Løren,146728032,Kaja,,Grünerløkka,59.92828,10.79527,Entire home/apt,950,2,3,2024-08-24,0.85,1,107,3,
1106577889382481825,Koselig familievennlig leilighet,218274649,Kristine Leanda,,Østensjø,59.90083,10.84472,Entire home/apt,1200,6,3,2024-07-01,0.65,1,189,3,
